,front,time,el,el_lo,el_hi
95,Draw THIRD front,2008-12-13 12:09:36,13.82463550567627,13.346024513244629,14.32322883605957
96,Draw INNER front,2008-12-13 12:49:37,16.457820892333984,15.88008975982666,17.234106063842773
97,Draw OUTER front,2008-12-13 12:49:37,18.486038208007812,17.592206954956055,19.239412307739258
98,Draw THIRD front,2008-12-13 12:49:37,13.96582317352295,13.34760856628418,14.504302024841309
99,Draw INNER front,2008-12-13 13:29:37,17.03851890563965,16.321643829345703,17.615325927734375
100,Draw OUTER front,2008-12-13 13:29:37,19.994626998901367,19.242656707763672,20.60667610168457
101,Draw THIRD front,2008-12-13 13:29:37,14.906514167785645,14.407958984375,15.38503360748291
102,Draw INNER front,2008-12-13 14:09:36,17.993356704711914,17.47659683227539,18.5690975189209
103,Draw OUTER front,2008-12-13 14:09:36,20.488758087158203,19.381855010986328,21.19820785522461
104,Draw THIRD front,2008-12-13 14:09:36,15.046545028686523,14.54801082611084,15.544960021972656
105,Draw INNER front,2008-12-13 14:49:37,17.973234176635742,17.37690544128418,18.56884002685547
106,Draw OUTER front,2008-12-13 14:49:37,21.866392135620117,20.74489974975586,22.454553604125977
107,Draw THIRD front,2008-12-13 14:49:37,15.265606880187988,14.687349319458008,15.903450012207031
108,Draw INNER front,2008-12-13 15:29:37,18.58892822265625,17.874141693115234,19.203615188598633
109,Draw OUTER front,2008-12-13 15:29:37,19.580204010009766,18.906810760498047,20.390483856201172
110,Draw THIRD front,2008-12-13 15:29:37,16.18264389038086,15.724337577819824,16.72049331665039
111,Draw INNER front,2008-12-13 16:09:36,19.420122146606445,18.92487335205078,19.973981857299805
112,Draw OUTER front,2008-12-13 16:09:36,,,
113,Draw THIRD front,2008-12-13 16:09:36,15.065154075622559,14.586565017700195,15.603428840637207
114,Draw INNER front,2008-12-13 16:49:36,19.298791885375977,18.72406578063965,19.87261390686035
115,Draw OUTER front,2008-12-13 16:49:36,,,
116,Draw THIRD front,2008-12-13 16:49:36,16.557357788085938,15.999617576599121,17.07490348815918
117,Draw INNER front,2008-12-13 17:29:36,19.318593978881836,18.743898391723633,19.852842330932617
118,Draw OUTER front,2008-12-13 17:29:36,20.978368759155273,19.83351707458496,22.059446334838867
119,Draw THIRD front,2008-12-13 17:29:36,,,
120,Draw INNER front,2008-12-13 18:09:36,20.445180892944336,19.872360229492188,21.036731719970703
121,Draw OUTER front,2008-12-13 18:09:36,22.34011459350586,21.338762283325195,22.98592758178711
122,Draw THIRD front,2008-12-13 18:09:36,,,
123,Draw INNER front,2008-12-13 18:49:36,20.62249183654785,20.01034164428711,21.17416763305664
124,Draw OUTER front,2008-12-13 18:49:36,,,
125,Draw THIRD front,2008-12-13 18:49:36,,,
